source,target,relation,source_sheet,raw_source,raw_target,fold
COMPOUND_d8438fe1dea5,SYMPTOM_c3332f5bc908,TREATS,Compound-Treats relationship,सुवर्णसूतशेखर,शीतपित्त,3
COMPOUND_d8438fe1dea5,SYMPTOM_8be6245de13d,TREATS,Compound-Treats relationship,सुवर्णसूतशेखर,हिक्का,3
COMPOUND_d8438fe1dea5,SYMPTOM_15564a4455ce,TREATS,Compound-Treats relationship,सुवर्णसूतशेखर,हृद्रोग,3
COMPOUND_bb49611aa259,SYMPTOM_9a9214077697,TREATS,Compound-Treats relationship,सुवर्णमालिनी वसंत,कास,0
COMPOUND_bb49611aa259,SYMPTOM_930ec0049d47,TREATS,Compound-Treats relationship,सुवर्णमालिनी वसंत,कार्श्य,0
COMPOUND_bb49611aa259,SYMPTOM_c5dde07b9b1c,TREATS,Compound-Treats relationship,सुवर्णमालिनी वसंत,जीर्णज्वर,0
COMPOUND_bb49611aa259,SYMPTOM_f8703b74a201,TREATS,Compound-Treats relationship,सुवर्णमालिनी वसंत,पार्श्वशूल,0
COMPOUND_bb49611aa259,SYMPTOM_48a27e7d9648,TREATS,Compound-Treats relationship,सुवर्णमालिनी वसंत,फक्क,0
COMPOUND_bb49611aa259,DISEASE_b2a66b919818,TREATS,Compound-Treats relationship,सुवर्णमालिनी वसंत,राजयक्ष्मा,0
COMPOUND_4d540add8c51,SYMPTOM_947c70271d24,TREATS,Compound-Treats relationship,सुवर्णपर्पटी,ग्रहणी,0
COMPOUND_4d540add8c51,DISEASE_b2a66b919818,TREATS,Compound-Treats relationship,सुवर्णपर्पटी,राजयक्ष्मा,0
COMPOUND_87dc236a64a3,SYMPTOM_685c0772c819,TREATS,Compound-Treats relationship,सिंहनाद गुग्गुलु,आमवात,3
COMPOUND_87dc236a64a3,SYMPTOM_ac4ac57a7b7f,TREATS,Compound-Treats relationship,सिंहनाद गुग्गुलु,वातरक्त,3
COMPOUND_87dc236a64a3,SYMPTOM_0a61ad588557,TREATS,Compound-Treats relationship,सिंहनाद गुग्गुलु,वातव्याधि,3
COMPOUND_e87ce6b3a27b,SYMPTOM_bac6c1b98325,TREATS,Compound-Treats relationship,सितोपलादि चूर्ण,उपेक्षित,3
COMPOUND_e87ce6b3a27b,SYMPTOM_9a9214077697,TREATS,Compound-Treats relationship,सितोपलादि चूर्ण,कास,3
COMPOUND_e87ce6b3a27b,DISEASE_b2a66b919818,TREATS,Compound-Treats relationship,सितोपलादि चूर्ण,राजयक्ष्मा,3
COMPOUND_e87ce6b3a27b,SYMPTOM_64c8aca0d1b5,TREATS,Compound-Treats relationship,सितोपलादि चूर्ण,श्वास,3
COMPOUND_e87ce6b3a27b,SYMPTOM_52b0760e3443,TREATS,Compound-Treats relationship,सितोपलादि चूर्ण,क्षतक्षीण,3
COMPOUND_5cf2dbc6a293,DISEASE_071459a0c2fd,TREATS,Compound-Treats relationship,सारिवाद्यासव,कुष्ठ,4
COMPOUND_5cf2dbc6a293,DISEASE_ef3323aa3b9e,TREATS,Compound-Treats relationship,सारिवाद्यासव,मूत्राघात,4
